filename,fwhm,threshold,center_ra,center_dec,field_width,field_height,pixel_scale,orientation,parity,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux_detected,mag,ra,dec,ra_hms,dec_dms,has_wcs,has_astrometry,aperture_sum,bkg_flux,flux,flux_err,snr,mag_calibrated,gaia_source_id,gaia_ra,gaia_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,simbad_main_id,otype,sp_type,rv_value,distance_result
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,233,271.91675,948.14106,0.4845169,0.1806858,0.17885781,49,0,335,2.7245314,-1.0882295,83.961705,-5.2747924,5:35:50.81,-5:16:29.3,True,True,11734.395,6355.4419,5378.9535,1743.8036,3.0846097,-9.3267445,3017372309666556160,83.961552,-5.2747799,13.489055,14.35731,12.560116,1.7971945,2.5226076,-0.67729625,-0.27749934,V* OT Ori,TT*,,,0.00014375312
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,234,611.04067,949.44112,0.44689707,0.29855642,0.84285731,49,0,3188,1.6307474,-0.53096676,83.792709,-5.422365,5:35:10.25,-5:25:20.5,True,True,2745787.6,2365586.3,380201.3,1848.154,205.71949,-13.950034,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,235,567.08287,947.73126,0.44057812,0.50942391,0.61356062,49,0,14473,12.70442,-2.7598871,83.813948,-5.4024707,5:35:15.35,-5:24:08.9,True,True,12573401,8687889.1,3885511.9,2630.7763,1476.945,-16.473621,,,,,,,,,,,2MASS J05351541-0524115,*,,,0.00086974859
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,236,622.24325,950.89325,0.43675193,-0.21081464,0.19376814,49,0,2966,2.2986007,-0.90365885,83.787738,-5.4279411,5:35:09.06,-5:25:40.6,True,True,2355159.6,2050537.9,304621.65,1827.5923,166.67922,-13.709402,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,237,477.27818,949.98906,0.40532986,-0.45578983,0.83338727,49,0,1972,4.3384611,-1.5933393,83.85984,-5.3646895,5:35:26.36,-5:21:52.9,True,True,1256042.5,755389.67,500652.81,1880.4587,266.23973,-14.248842,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,238,491.91527,954.53431,0.434583,-0.68900713,0.61728079,49,0,1351,1.896129,-0.6946697,83.854501,-5.3732948,5:35:25.08,-5:22:23.9,True,True,1188812.3,1876671.2,-687858.96,1532.1922,-448.93777,,3017362620221397248,83.854729,-5.3736596,18.329798,15.925863,14.890618,1.0352449,2.2501856,0.76644148,0.091824237,2MASS J05352512-0522252,Or*,,,0.00043586715
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,239,586.15105,956.2943,0.41400038,-0.17180284,0.39095174,49,0,9257,7.0915774,-2.1268571,83.808142,-5.4149959,5:35:13.95,-5:24:54.0,True,True,6216276.7,5479298.9,736977.86,1942.2795,379.43965,-14.668636,,,,,,,,,,,[H97b] 20146,*,,,0.0011821755
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,240,600.39256,957.6759,0.42677131,0.17643554,0.17873654,49,0,3656,2.629463,-1.0496676,83.801622,-5.4218534,5:35:12.39,-5:25:18.7,True,True,3718709.5,3187708.1,531001.37,1888.5109,281.17464,-14.312739,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,241,615.27413,956.30821,0.37824681,-0.1241554,-0.30136148,49,0,3085,1.4855118,-0.42969023,83.793583,-5.4276189,5:35:10.46,-5:25:39.4,True,True,2736489.8,1824011.8,912477.97,1986.9449,459.23668,-14.900556,,,,,,,,,,,,,,,
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,242,581.77434,955.75158,0.39547619,0.090729875,0.84454037,49,0,10391,6.1926974,-1.9796997,83.810095,-5.4128296,5:35:14.42,-5:24:46.2,True,True,7271728.9,7016407.9,255321.02,1814.0543,140.74607,-13.517716,,,,,,,,,,,2MASS J05351460-0524428,*,,,0.0011992495
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,243,548.98515,958.5949,0.45581108,-0.10955429,0.86954816,49,0,11238,8.5667421,-2.3320392,83.827731,-5.4000412,5:35:18.66,-5:24:00.1,True,True,10494498,10052947,441550.42,1864.6775,236.7972,-14.112451,3017361108385556352,83.827831,-5.3990154,17.180853,13.068659,12.265131,0.80352783,2.6183229,1.7365717,0.039344271,COUP   987,Or*,,,0.0010249992
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,244,314.26569,960.44258,0.50502488,0.053923339,0.08572818,49,0,1228,9.4396562,-2.4373904,83.945895,-5.29927,5:35:47.01,-5:17:57.4,True,True,53577.428,31777.21,21800.218,1748.5057,12.467914,-10.846152,3017369217290105472,83.945871,-5.2991763,10.762822,13.401684,9.3597822,4.0419016,1.557214,-0.93028416,-4.4002895,Brun 862,s*r,,,0.00010890529
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,245,526.61704,962.12162,0.40651723,-0.37378642,0.78352713,49,0,6706,6.5472603,-2.040149,83.840454,-5.3921074,5:35:21.71,-5:23:31.6,True,True,5445769.6,7495789.8,-2050020.2,992.6992,-2065.0971,,,,,,,,,,,,DOH 15 218-328,Y*O,,,0.001062891
vertopal.com_Stacked_113_M 42_10.0s_IRCUT_20241107-235542.fits,5,3,83.832883,-5.3963936,42.771254,76.037784,2.3761808,138.96008,1,246,590.24651,961.87441,0.4187665,-0.073563881,-0.1826389,49,0,6779,4.4754477,-1.6270912,83.808525,-5.4195491,5:35:14.05,-5:25:10.4,True,True,5742205.2,3548606.4,2193598.8,2286.7161,959.27902,-15.852893,,,,,,,,,,,,,,,
